,image_number,prediction,probability
5510,test\img_14958.jpg,1,0.9489985
2169,test\img_11950.jpg,1,0.94943494
1326,test\img_11191.jpg,1,0.95365113
17354,test\img_9323.jpg,1,0.9541781
1498,test\img_11346.jpg,1,0.95472443
4234,test\img_13809.jpg,1,0.95592403
18097,test\img_9993.jpg,1,0.9563808
17923,test\img_9836.jpg,1,0.95671105
17083,test\img_908.jpg,1,0.95705813
10641,test\img_3281.jpg,1,0.9580909
11136,test\img_3727.jpg,1,0.95868844
9333,test\img_2103.jpg,1,0.9594924
10011,test\img_2714.jpg,1,0.96029115
3374,test\img_13034.jpg,1,0.9607215
6104,test\img_15492.jpg,1,0.96158886
2580,test\img_1232.jpg,1,0.9622181
5944,test\img_15348.jpg,1,0.9637844
121,test\img_10106.jpg,1,0.9638236
12361,test\img_483.jpg,1,0.9639305
9527,test\img_2279.jpg,1,0.9639675
6519,test\img_15866.jpg,1,0.9667695
770,test\img_10691.jpg,1,0.967208
336,test\img_1030.jpg,1,0.9685823
318,test\img_10284.jpg,1,0.96986276
17840,test\img_9761.jpg,1,0.9716448
6067,test\img_15459.jpg,1,0.97298187
109,test\img_10096.jpg,1,0.9732127
14066,test\img_6364.jpg,1,0.9739091
17941,test\img_9852.jpg,1,0.97499996
13604,test\img_5949.jpg,1,0.97542274
14848,test\img_7068.jpg,1,0.97644186
12573,test\img_502.jpg,1,0.9764538
17962,test\img_9871.jpg,1,0.9765866
14109,test\img_6402.jpg,1,0.9766476
3817,test\img_13433.jpg,1,0.9785081
10016,test\img_2719.jpg,1,0.98040366
5089,test\img_14579.jpg,1,0.98046297
1862,test\img_11674.jpg,1,0.9815229
12824,test\img_5246.jpg,1,0.9815315
3287,test\img_12957.jpg,1,0.9819504
17187,test\img_9173.jpg,1,0.98239934
8978,test\img_18079.jpg,1,0.9830714
3286,test\img_12956.jpg,1,0.98412883
776,test\img_10697.jpg,1,0.9844209
2790,test\img_12509.jpg,1,0.98474574
8234,test\img_17409.jpg,1,0.9851494
6621,test\img_15958.jpg,1,0.98531437
4353,test\img_13916.jpg,1,0.98627543
5415,test\img_14872.jpg,1,0.98685896
9400,test\img_2164.jpg,1,0.98703647
928,test\img_10833.jpg,1,0.98727673
7529,test\img_16775.jpg,1,0.98913866
2758,test\img_12480.jpg,1,0.9893561
9683,test\img_2419.jpg,1,0.9895992
11683,test\img_4219.jpg,1,0.99073505
4749,test\img_14272.jpg,1,0.99190736
2958,test\img_12660.jpg,1,0.99208236
9401,test\img_2165.jpg,1,0.99220556
17570,test\img_9518.jpg,1,0.99223703
7530,test\img_16776.jpg,1,0.9932146
15722,test\img_7855.jpg,1,0.994066
12050,test\img_455.jpg,1,0.9942273
8841,test\img_17956.jpg,1,0.994234
1266,test\img_11137.jpg,1,0.9944707
6347,test\img_15710.jpg,1,0.99448806
14118,test\img_6410.jpg,1,0.99457514
5609,test\img_15046.jpg,1,0.9945799
9285,test\img_2060.jpg,1,0.99492776
16222,test\img_8304.jpg,1,0.9949351
8711,test\img_17839.jpg,1,0.99770653
4966,test\img_14468.jpg,1,0.9978089
3986,test\img_13586.jpg,1,0.99847287
12111,test\img_4604.jpg,1,0.9986046
5552,test\img_14996.jpg,1,0.99897397
4354,test\img_13917.jpg,1,0.99917525
